"Collection Name","Title#1","Subtitle#1","Alternative Title#1","Name#1","Name URI#1","Name#2","Name URI#2","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Date Created#1","Language Term#1","Language Term URI#1","Extent#1","Form#1","Form URI#1","Abstract#1","Note#1","Note#2","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Location URL#1","Date Captured#1","Internet Media Type#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Early Photography of Asia","A Traveling Restaurant","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1932/1937","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 2¼”x 1¾”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of a street-food vendor and his cart in Beijing, China.","Collection origin: Albert E. Kane","","Street-food vendors","http://id.worldcat.org/fast/1799961","Food carts","http://id.loc.gov/authorities/subjects/sh2011001950","","","","","","","Beijing (Hebei, China, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/8376188","","","","","narv_photogEarlyAsia_Kane_02_00_08_13.tif","https://ark.colorado.edu/ark:/47540/xv1t7346c8qp","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","46","1228135","5082","narv_photogEarlyAsia_Kane_02_00_08_13.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~46~1228135"
"Early Photography of Asia","A.G. Labbe","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1933","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 2¼”x 1½”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of a man named A.G. Labbe posing with an unnamed Chinese man, presumably on Kane's trip to the Great Wall of China.","Collection origin: Albert E. Kane","","Voyages and travels","http://id.worldcat.org/fast/1169308","Travelers","http://id.worldcat.org/fast/1155691","","","Labbe, A. G.","local","","","China (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000111","","","","","narv_photogEarlyAsia_Kane_02_00_03_06.tif","https://ark.colorado.edu/ark:/47540/wz319b9426bp","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","18","1228162","5082","narv_photogEarlyAsia_Kane_02_00_03_06.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~18~1228162"
"Early Photography of Asia","Along the Bund, Canton","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1932/1937","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 2¼”x 1¾”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of a waterfront area in Guangzhou, China, with many boats. The boat in front has four Chinese men working on it.","Collection origin: Albert E. Kane","","Rivers","http://id.worldcat.org/fast/1098312","Boats and boating","http://id.worldcat.org/fast/835176","Boaters (Persons)","http://id.worldcat.org/fast/1738025","","","","","Guangzhou (Canton, China, Asia) (second level subdivision)","http://vocab.getty.edu/page/tgn/8208558","","","","","narv_photogEarlyAsia_Kane_02_00_02_04.tif","https://ark.colorado.edu/ark:/47540/jg3p4531r85c","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","4","1228176","5082","narv_photogEarlyAsia_Kane_02_00_02_04.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~4~1228176"
"Early Photography of Asia","At last – a Camel","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1933","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 3”x 1¾”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of Albert Kane holding the reins to a camel, with a building in the background. Presumably taken on Kane's trip to the Great Wall of China.","Collection origin: Albert E. Kane","","Voyages and travels","http://id.worldcat.org/fast/1169308","Travelers","http://id.worldcat.org/fast/1155691","Camels","http://id.worldcat.org/fast/844698","Kane, Albert","local","","","China (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000111","","","","","narv_photogEarlyAsia_Kane_02_00_03_04.tif","https://ark.colorado.edu/ark:/47540/v2316303d9q0","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","16","1228164","5082","narv_photogEarlyAsia_Kane_02_00_03_04.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~16~1228164"
"Early Photography of Asia","Aurangabad photo budget. No. 7, March, 1935","","","Manning, Ruth","local","Bailey, D. K. (Dana Kavanagh), 1916-1999","http://id.loc.gov/authorities/names/no2014082460","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","photograph albums","http://vocab.getty.edu/page/aat/300026695","1935-03","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 volume (unpaged) : black and white photographs ; 19 x 14 cm","travel photography","http://vocab.getty.edu/page/aat/300054230","Handmade photograph album composed of 4 sheets of brown paper (19 x 28 cm, folded to 19 x 14 cm) stitched at spine and made by Miss Ruth Manning. The album includes 12 pages with 21 black and white photographs glued into the volume. The title is written on the cover in ink and as are captions under each photo. Photographs depict the Revised W. H. Bishop, accompanied by his wife, performing various ceremonies, i.e., baptisms, hospital foundation laying, and preaching, to Mahar villagers in Pachwad, India.","","","Missionaries","http://id.worldcat.org/fast/1023720","Preaching","http://id.worldcat.org/fast/1074813","Baptism","http://id.worldcat.org/fast/827229","Bishop, W. H.","local","","","Aurangābād (Mahārāshtra, India, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/1074483","","","","","narv_photogEarlyAsia_aurangabadPBNo7.pdf","https://ark.colorado.edu/ark:/47540/2g5d8j84q383","University of Colorado Boulder Libraries Rare and Distinctive Collections","BV3269.M24 A97 1935","http://libraries.colorado.edu/record=b8856009~S3","2022","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","149","1227004","5082","narv_photogEarlyAsia_aurangabadPBNo7.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~149~1227004"
"Early Photography of Asia","Bound Feet","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1932/1937","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 2¼”x 1¾”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of an older Chinese woman holding a small dog and a fan, presumably in Beijing, China. The woman's shoes are indicative that she had her feet bound early in life.","Collection origin: Albert E. Kane","","Footbinding","http://id.worldcat.org/fast/931452","Older people","http://id.worldcat.org/fast/1199093","Dogs","http://id.worldcat.org/fast/896265","","","","","Beijing (Hebei, China, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/8376188","","","","","narv_photogEarlyAsia_Kane_02_00_08_10.tif","https://ark.colorado.edu/ark:/47540/jq9f4t33d08r","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","43","1228138","5082","narv_photogEarlyAsia_Kane_02_00_08_10.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~43~1228138"
"Early Photography of Asia","Buddhist Monastery in Moulmein","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","Albumen prints","https://www.loc.gov/pictures/item/tgm000227/","1885/1895","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 7.5”x 9.5”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of the outside of a Buddhist Monastery in Mawlamyine (previously Moulmein), Myanmar (Burma). The image shows a variety of trees and plants and a well in front of the temple. The title is written on back of the photograph.","Collection origin: Ira Wolff Photographic History Collection","This photograph is part of a set of 19 photographs of British colonial Burma (Myanmar), very likely taken by British colonists who lived in the area in the late 19th century. One of the photographs in the set is of a group of British people outside a large mansion, who may have been those taking the photographs.","Buddhist monasteries","http://id.worldcat.org/fast/1727613","","","","","","","","","Mawlamyine (Mon State, Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002164","","","","","narv_photogEarlyAsia_albumen_d_0003.jpg","https://ark.colorado.edu/ark:/47540/5n5k7k31n1b9","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 2642","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/2445","2022","image/tiff","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","163","1227022","5082","narv_photogEarlyAsia_albumen_d_0003.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~163~1227022"
"Early Photography of Asia","Burma, Penang, and China in the 1920s : four photograph albums","A line a day journal","Four photograph albums by George West Philleo","Philleo, George West","http://id.loc.gov/authorities/names/no2022147158","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","diaries","http://vocab.getty.edu/page/aat/300027112","","","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","399 unnumbered pages","memoirs","http://vocab.getty.edu/page/aat/300202559","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","narv_photogEarlyAsia_burmaChinaPhillippines_v1.pdf","https://ark.colorado.edu/ark:/47540/495f8n64m162","University of Colorado Boulder Libraries Rare and Distinctive Collections","DS527.6 .P55 1917","http://libraries.colorado.edu/record=b12780537~S3","2022","application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","154","1227815","5082","narv_photogEarlyAsia_burmaChinaPhillippines_v1.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~154~1227815"
"Early Photography of Asia","Burma, Penang, and China in the 1920s : four photograph albums","","Four photograph albums by George West Philleo","Philleo, George West","http://id.loc.gov/authorities/names/no2022147158","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","photograph albums","http://vocab.getty.edu/page/aat/300026695","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","travel photography","http://vocab.getty.edu/page/aat/300054230","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","narv_photogEarlyAsia_burmaChinaPhillippines_v2.pdf","https://ark.colorado.edu/ark:/47540/ht3v4934s63z","University of Colorado Boulder Libraries Rare and Distinctive Collections","DS527.6 .P55 1917","http://libraries.colorado.edu/record=b12780537~S3","2022","application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","155","1227813","5082","narv_photogEarlyAsia_burmaChinaPhillippines_v2.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~155~1227813"
"Early Photography of Asia","Burma, Penang, and China in the 1920s : four photograph albums","","Four photograph albums by George West Philleo","Philleo, George West","http://id.loc.gov/authorities/names/no2022147158","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","photograph albums","http://vocab.getty.edu/page/aat/300026695","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","travel photography","http://vocab.getty.edu/page/aat/300054230","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","narv_photogEarlyAsia_burmaChinaPhillippines_v3.pdf","https://ark.colorado.edu/ark:/47540/fx150g66b790","University of Colorado Boulder Libraries Rare and Distinctive Collections","DS527.6 .P55 1917","http://libraries.colorado.edu/record=b12780537~S3","2022","application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","156","1227817","5082","narv_photogEarlyAsia_burmaChinaPhillippines_v3.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~156~1227817"
"Early Photography of Asia","Burma, Penang, and China in the 1920s : four photograph albums","","Four photograph albums by George West Philleo","Philleo, George West","http://id.loc.gov/authorities/names/no2022147158","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","photograph albums","http://vocab.getty.edu/page/aat/300026695","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","travel photography","http://vocab.getty.edu/page/aat/300054230","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","narv_photogEarlyAsia_burmaChinaPhillippines_v4.pdf","https://ark.colorado.edu/ark:/47540/wd651w8196w8","University of Colorado Boulder Libraries Rare and Distinctive Collections","DS527.6 .P55 1917","http://libraries.colorado.edu/record=b12780537~S3","2022","application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","157","1227811","5082","narv_photogEarlyAsia_burmaChinaPhillippines_v4.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~157~1227811"
"Early Photography of Asia","Burma, Penang, and China in the 1920s : four photograph albums","","Four photograph albums by George West Philleo","Philleo, George West","http://id.loc.gov/authorities/names/no2022147158","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","photograph albums","http://vocab.getty.edu/page/aat/300026695","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","travel photography","http://vocab.getty.edu/page/aat/300054230","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","narv_photogEarlyAsia_burmaChinaPhillippines_v5.pdf","https://ark.colorado.edu/ark:/47540/8q1h6f23r0vx","University of Colorado Boulder Libraries Rare and Distinctive Collections","DS527.6 .P55 1917","http://libraries.colorado.edu/record=b12780537~S3","2022","application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","158","1227809","5082","narv_photogEarlyAsia_burmaChinaPhillippines_v5.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~158~1227809"
"Early Photography of Asia","Burmese Baptist Chapel Moulmein","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","Albumen prints","https://www.loc.gov/pictures/item/tgm000227/","1885/1895","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of a Baptist Chapel in Mawlamyine (previously Moulmein), Myanmar (Burma). The image shows the chapel, a fence, a dirt path and road as well as the trees surrounding the chapel. The title is written on the back of the photograph.","Collection origin: Ira Wolff Photographic History Collection","This photograph is part of a set of 19 photographs of British colonial Burma (Myanmar), very likely taken by British colonists who lived in the area in the late 19th century. One of the photographs in the set is of a group of British people outside a large mansion, who may have been those taking the photographs.","Baptist church buildings","http://id.worldcat.org/fast/827271","Imperialism","http://id.worldcat.org/fast/968126","","","","","","","Mawlamyine (Mon State, Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002164","","","","","narv_photogEarlyAsia_albumen_d_0016.jpg","https://ark.colorado.edu/ark:/47540/rd9k1r9211wr","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 2642","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/2445","2022","image/tiff","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","176","1227009","5082","narv_photogEarlyAsia_albumen_d_0016.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~176~1227009"
"Early Photography of Asia","Burmese Ladies of Wealth","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","Albumen prints","https://www.loc.gov/pictures/item/tgm000227/","1885/1895","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 7.5”x 9.5”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of two Burmese women in Myanmar (Burma) dressed in traditional attire, adorned in jewelry with flowers in their hair. The image highlights a traditional style rug as well as an urn where one woman is putting a cigarette or some sort of incense. The title is written on the back of the photograph.","Collection origin: Ira Wolff Photographic History Collection","This photograph is part of a set of 19 photographs of British colonial Burma (Myanmar), very likely taken by British colonists who lived in the area in the late 19th century. One of the photographs in the set is of a group of British people outside a large mansion, who may have been those taking the photographs.","Women","http://id.worldcat.org/fast/1176568","Rich people","http://id.worldcat.org/fast/1097537","","","","","","","Mawlamyine (Mon State, Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002164","","","","","narv_photogEarlyAsia_albumen_d_0002.jpg","https://ark.colorado.edu/ark:/47540/zx1m2870r454","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 2642","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/2445","2022","image/tiff","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","162","1227023","5082","narv_photogEarlyAsia_albumen_d_0002.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~162~1227023"
"Early Photography of Asia","By Mule to Great Wall","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1933","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 3”x 1¾”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of Albert Kane, Jacob Rabinowitz, his wife, and two Chinese boys, behind a mule. Taken on Kane's trip to the Great Wall of China.","Collection origin: Albert E. Kane","","Voyages and travels","http://id.worldcat.org/fast/1169308","Travelers","http://id.worldcat.org/fast/1155691","Mules","http://id.worldcat.org/fast/1028771","Rabinowitz, Jacob","local","Kane, Albert","local","China (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000111","","","","","narv_photogEarlyAsia_Kane_02_00_03_05.tif","https://ark.colorado.edu/ark:/47540/85391k49z8rc","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","17","1228163","5082","narv_photogEarlyAsia_Kane_02_00_03_05.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~17~1228163"
"Early Photography of Asia","Chinese Peasant","","","Kane, Albert E.","local","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","","","1933","English","http://id.loc.gov/vocabulary/iso639-2/eng","1 black and white photograph; 2¼”x 1¾”","travel photography","http://vocab.getty.edu/page/aat/300054230","A photograph of an older Chinese man with a few other people in the background. Presumably taken on Kane's trip to the Great Wall of China.","Collection origin: Albert E. Kane","","Voyages and travels","http://id.worldcat.org/fast/1169308","Travelers","http://id.worldcat.org/fast/1155691","","","","","","","China (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000111","","","","","narv_photogEarlyAsia_Kane_02_00_03_07.tif","https://ark.colorado.edu/ark:/47540/xr8p5s31c104","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:0905:004:002","CU Boulder ArchivesSpace: https://archives.colorado.edu/repositories/2/resources/43","Undated","image/tiff","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","19","1228161","5082","narv_photogEarlyAsia_Kane_02_00_03_07.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~19~1228161"
